VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ1_M,-37.851269,147.365627,20,FDD,L2100,ACTIVE,NO,NO
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ2_M,-37.851269,147.365627,140,FDD,L2100,ACTIVE,NO,NO
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ3_M,-37.851269,147.365627,260,FDD,L2100,ACTIVE,NO,NO
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ1_J,-37.851269,147.365627,20,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ2_J,-37.851269,147.365627,140,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ3_J,-37.851269,147.365627,260,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ1_L,-37.851269,147.365627,20,FDD,L1800,ACTIVE,NO,NO
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ1_N,-37.851269,147.365627,20,FDD,L2600,ACTIVE,NO,NO
VEND-3,CLUST-4,SITE_1,Kumeu South East,AKSEJ2_N,-37.851269,147.365627,140,FDD,L2600,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF1_N,-43.522469,172.64108,90,FDD,L2600,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF2_N,-43.522469,172.64108,210,FDD,L2600,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF1_M,-43.522469,172.64108,90,FDD,L2100,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF3_N,-43.522469,172.64108,330,FDD,L2600,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF2_M,-43.522469,172.64108,210,FDD,L2100,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF1_L,-43.522469,172.64108,90,FDD,L1800,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF2_L,-43.522469,172.64108,210,FDD,L1800,ACTIVE,YES,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF3_M,-43.522469,172.64108,330,FDD,L2100,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF1_J,-43.522469,172.64108,90,FDD,L700,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF2_J,-43.522469,172.64108,210,FDD,L700,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF3_J,-43.522469,172.64108,330,FDD,L700,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_3,Addington,SADDF1_M,-43.541317,172.613575,90,FDD,L2100,ACTIVE,NO,NO
SAMSUNG,CH Corridor,SITE_2,Aberdeen Street,SABDF3_L,-43.522469,172.64108,330,FDD,L1800,ACTIVE,NO,YES
SAMSUNG,CH Corridor,SITE_3,Addington,SADDF1_N,-43.541317,172.613575,90,FDD,L2600,ACTIVE,NO,NO
