VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-A,-37.851269,147.365627,20,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-B,-37.851269,147.365627,140,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-C,-37.851269,147.365627,260,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-A,-37.851269,147.365627,20,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-B,-37.851269,147.365627,140,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-C,-37.851269,147.365627,260,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-A,-37.851269,147.365627,20,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-A,-37.851269,147.365627,20,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_1,Kumeu South East,SITE_1_CELL-B,-37.851269,147.365627,140,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-2,SITE_2,Aberdeen Street,SITE_2_CELL-A,-43.522469,172.64108,90,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-2,SITE_2,Aberdeen Street,SITE_2_CELL-B,-43.522469,172.64108,210,FDD,L2600,ACTIVE,NO,NO
VEND-1,CLUST-2,SITE_2,Aberdeen Street,SITE_2_CELL-A,-43.522469,172.64108,90,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-2,SITE_2,Aberdeen Street,SITE_2_CELL-C,-43.522469,172.64108,330,FDD,L2600,ACTIVE,NO,NO
