Alarm ID,Alarm Timestamp,Status,Severity,Region,City,Vendor,Vendor Code,Cluster,Site,Cell/s,Technology,Freq-band,Latitude,Longitude,Azimuth,Beamwidth,Capacity,Coverage,FWA,Golden Site,Power Alarm,Burglar Alarm,Planned Activity,CRNumber,Estimated Recovery Time,Number of Customers Impacted,Number of Dwellings Impacted,Average Revenue Per Day NZD,Alarm Description,Flash,Sound,Acknowledged,Owner
NOC-0001,2026-07-31 13:04:00,Active,Critical,Waikato,Hamilton,Samsung,VENDOR-1,CLUSTER-4,S112,Cell-B,4G,L700,-37.787,175.2793,120,65,NO,YES,NO,NO,YES,YES,YES,CR111,4H,500,120,12500,RRU Failure; Power Failure; Radio Link Failure; TX Failure,YES,YES,NO,Field Operations
NOC-0002,2026-07-31 12:51:00,Active,Critical,Auckland,Auckland,Nokia,VENDOR-2,CLUSTER-12,AKL0421,Cell-C,4G,L1800,-36.8721,174.7645,145,65,YES,YES,YES,YES,NO,NO,NO,CR2041,45 min,428,190,18400,RRU communication lost on sector; service unavailable,YES,YES,YES,Auckland RAN
NOC-0003,2026-07-31 12:36:00,Active,Critical,Canterbury,Christchurch,Ericsson,VENDOR-3,CLUSTER-21,CHC0188,Cell-A,5G,N3500,-43.5321,172.6362,35,55,YES,YES,NO,YES,YES,NO,NO,CR2042,2H,310,145,9600,Commercial power failure; batteries discharging,YES,YES,NO,South Island NOC
NOC-0004,2026-07-31 11:58:00,Active,Critical,Wellington,Wellington,Huawei,VENDOR-4,CLUSTER-18,WLG0307,Cell-C,4G,L2100,-41.2924,174.7787,255,65,NO,YES,NO,YES,NO,YES,NO,CR2043,90 min,275,98,11200,Transmission link failure; sector isolated,YES,YES,NO,Central NOC
NOC-0005,2026-07-31 11:42:00,Active,Critical,Bay of Plenty,Tauranga,Samsung,VENDOR-1,CLUSTER-9,TRG0142,Cell-A,5G,N3500,-37.6878,176.1651,75,55,YES,YES,YES,NO,YES,NO,NO,CR2044,3H,221,134,7800,5G baseband unit unavailable after power event,YES,YES,YES,Bay of Plenty RAN
NOC-0006,2026-07-31 13:01:00,Active,Major,Waikato,Hamilton,Samsung,VENDOR-1,CLUSTER-4,S112,Cell-A,4G,L700,-37.787,175.2793,0,65,YES,YES,NO,NO,NO,NO,YES,CR111,4H,120,44,2900,High VSWR detected; service degradation,YES,NO,NO,Field Operations
NOC-0007,2026-07-31 12:47:00,Active,Major,Waikato,Hamilton,Samsung,VENDOR-1,CLUSTER-4,S112,Cell-C,4G,L700,-37.787,175.2793,240,65,YES,YES,NO,NO,NO,NO,YES,CR111,4H,86,31,2100,Cell availability degraded during planned recovery,YES,NO,NO,Field Operations
NOC-0008,2026-07-31 12:22:00,Active,Major,Otago,Dunedin,Nokia,VENDOR-2,CLUSTER-31,DUD0094,Cell-B,4G,L1800,-45.8742,170.5036,130,65,NO,YES,NO,NO,NO,NO,NO,CR2045,3H,152,61,5100,Backhaul packet loss above operational threshold,YES,NO,NO,South Island NOC
NOC-0009,2026-07-31 12:08:00,Active,Major,Hawke's Bay,Napier,Ericsson,VENDOR-3,CLUSTER-25,NPE0117,Cell-A,4G,L700,-39.4928,176.912,15,65,YES,YES,YES,NO,YES,NO,NO,CR2046,2H,143,77,4200,Mains supply unstable; site operating on battery,YES,NO,YES,East Coast RAN
NOC-0010,2026-07-31 11:49:00,Active,Major,Manawatū-Whanganui,Palmerston North,Huawei,VENDOR-4,CLUSTER-27,PMR0135,Cell-C,5G,N2600,-40.3564,175.6111,250,55,YES,YES,YES,NO,NO,NO,NO,CR2047,5H,132,54,4700,5G carrier locked; repeated restart failures,YES,NO,NO,Central NOC
NOC-0011,2026-07-31 11:31:00,Active,Major,Northland,Whangārei,ZTE,VENDOR-5,CLUSTER-6,WRE0073,Cell-B,4G,L700,-35.7251,174.3237,120,65,NO,YES,YES,YES,YES,NO,NO,CR2048,6H,118,89,3900,Generator start failure during AC outage,YES,NO,NO,Northern Field Ops
NOC-0012,2026-07-31 10:55:00,Active,Major,Taranaki,New Plymouth,Cisco,VENDOR-6,CLUSTER-29,NPL0109,Cell-A,4G,L2100,-39.0556,174.0752,20,65,YES,YES,NO,NO,NO,NO,YES,CR2049,2H,97,37,3300,Planned transmission migration running over window,YES,NO,YES,Transport NOC
NOC-0013,2026-07-31 10:27:00,Active,Major,Nelson,Nelson,Juniper,VENDOR-7,CLUSTER-33,NSN0068,Cell-C,4G,L1800,-41.2706,173.284,245,65,YES,YES,NO,NO,NO,NO,NO,CR2050,4H,84,29,2700,Router interface errors affecting mobile backhaul,YES,NO,NO,Transport NOC
NOC-0014,2026-07-31 12:44:00,Active,Warning,Auckland,Auckland,Nokia,VENDOR-2,CLUSTER-14,AKL0678,Cell-A,5G,N3500,-36.8509,174.7655,25,55,YES,YES,YES,YES,NO,NO,NO,CR2051,Monitoring,42,18,1600,5G cell utilisation above 85 percent,NO,NO,YES,Auckland RAN
NOC-0015,2026-07-31 12:19:00,Active,Warning,Bay of Plenty,Rotorua,Samsung,VENDOR-1,CLUSTER-10,ROT0081,Cell-B,4G,L700,-38.1368,176.2497,135,65,NO,YES,YES,NO,NO,NO,NO,CR2052,Monitoring,38,25,1400,Capacity threshold warning during busy hour,NO,NO,NO,Bay of Plenty RAN
NOC-0016,2026-07-31 11:54:00,Active,Warning,Southland,Invercargill,Ericsson,VENDOR-3,CLUSTER-38,IVC0047,Cell-C,4G,L700,-46.4132,168.3538,250,65,YES,YES,NO,NO,YES,NO,NO,CR2053,8H,34,21,1100,Battery autonomy below design threshold,NO,NO,NO,South Island NOC
NOC-0017,2026-07-31 11:21:00,Active,Warning,Otago,Queenstown,Huawei,VENDOR-4,CLUSTER-35,ZQN0055,Cell-A,5G,N3500,-45.0312,168.6626,30,55,NO,YES,YES,YES,NO,NO,NO,CR2054,Monitoring,61,48,3500,Seasonal traffic forecast exceeds available capacity,NO,NO,YES,Capacity Planning
NOC-0018,2026-07-31 10:48:00,Active,Warning,Gisborne,Gisborne,ZTE,VENDOR-5,CLUSTER-24,GIS0042,Cell-B,4G,L700,-38.6623,178.0176,125,65,YES,YES,YES,NO,NO,NO,NO,CR2055,6H,29,22,900,Microwave receive level approaching warning limit,NO,NO,NO,East Coast RAN
